username,startingwins,starting_score,current_wins,current_score,total_wins,total_score,last_updated,base_tickets,battles_at_250m,extra_tix,total_tix,tier,np earned
zanzibar37,3960,"1,148,295","29,629","62,282,236",25669,"61,133,941","9/1/2025, 12:01:57 AM",51,21925,7,58,Gold,1m
nostalgia,132260,"72,540,721","155,567","133,553,122",23307,"61,012,401","9/1/2025, 12:01:52 AM",46,19752,7,53,Gold,1m
moonzywolfgirl,20982,"3,921,276","34,334","30,138,611",13352,"26,217,335","9/1/2025, 12:01:04 AM",26,13221,0,26,Gold,none
rhianafaeriedoll,55384,"29,675,379","66,940","57,502,247",11556,"27,826,868","9/1/2025, 12:03:30 AM",23,10685,1,24,Gold,1m
superkathiee,11375,"3,219,307","21,380","21,221,000",10005,"18,001,693","9/1/2025, 12:01:06 AM",20,8990,2,22,Gold,1m
hunni_bun_137,4129,"551,088","11,845","12,823,511",7716,"12,272,423","9/1/2025, 12:02:15 AM",15,7072,1,16,Silver,500k
angel709317,8810,"1,684,889","16,235","11,664,398",7425,"9,979,509","9/1/2025, 12:02:40 AM",14,7372,0,14,Silver,none
i_will_always_luv_me,5061,"989,114","12,076","6,806,803",7015,"5,817,689","9/1/2025, 12:02:13 AM",14,6228,1,15,Silver,1m
goosesticks,3871,"502,071","9,383","13,381,232",5512,"12,879,161","9/1/2025, 12:00:59 AM",11,5003,1,12,Silver,500k
eleganza_lights,21148,"6,813,116","26,379","19,809,230",5231,"12,996,114","9/1/2025, 12:00:11 AM",10,4776,0,10,Silver,500k
alethiometry,8646,"1,491,555","13,709","7,038,918",5063,"5,547,363","9/1/2025, 12:02:55 AM",10,4514,1,11,Silver,1m
catchinglights,39352,"16,445,825","44,357","23,027,636",5005,"6,581,811","9/1/2025, 12:00:47 AM",10,4473,1,11,Silver,500k
hilary_duff_fan_16,17595,"2,748,783","22,597","10,026,083",5002,"7,277,300","9/1/2025, 12:02:42 AM",10,4828,0,10,Silver,500k
aangchan,19984,"7,701,379","24,601","16,000,000",4617,"8,298,621","9/1/2025, 12:02:36 AM",9,3840,1,10,Bronze,500k
butseriously,6852,"1,000,352","10,559","2,433,598",3707,"1,433,246","9/1/2025, 12:02:44 AM",7,3463,0,7,Bronze,none
midnightswish,282,"36,936","3,563","1,899,326",3281,"1,862,390","9/1/2025, 12:01:38 AM",6,3017,0,6,Bronze,none
bellababyfly_7,23635,"5,053,891","26,635","6,173,805",3000,"1,119,914","9/1/2025, 12:02:07 AM",6,2376,1,7,Bronze,1m
ckgknyangel,20834,"3,630,600","22,609","6,602,174",1775,"2,971,574","9/1/2025, 12:02:23 AM",3,1670,0,3,Bronze,none
nella_fantasia,17925,"2,663,913","19,262","2,949,384",1337,"285,471","9/1/2025, 12:01:23 AM",2,1097,0,2,Bronze,none
ferulax,2471,"249,561","3,540","1,288,422",1069,"1,038,861","9/1/2025, 12:02:52 AM",2,1004,0,2,Bronze,none
atritas,8512,"1,516,730","9,241","2,003,770",729,"487,040","9/1/2025, 12:00:26 AM",1,729,0,1,Bronze,none
justiquen,52044,"10,996,202","52,754","11,323,927",710,"327,725","9/1/2025, 12:01:21 AM",1,689,0,1,Bronze,none
mizsango,6484,"1,208,380","7,054","1,473,514",570,"265,134","9/1/2025, 12:00:23 AM",1,451,0,1,Bronze,none
gamemaster32792,5946,"1,121,086","6,490","1,329,065",544,"207,979","9/1/2025, 12:02:26 AM",1,442,0,1,Bronze,none
d_a_r_e,23910,"5,194,220","24,448","5,557,980",538,"363,760","9/1/2025, 12:02:18 AM",1,538,0,1,Bronze,none
xeyota__fh,13231,"2,266,139","13,733","2,614,426",502,"348,287","9/1/2025, 12:00:43 AM",1,144,0,1,Bronze,none
