team_logo,team_name,username,yyb_wins,yyb_draws,yyb_high_score,slsl_wins,slsl_high_score,msn_plays,msn_high_score,sosd_plays,sosd_high_score,total_score,rank,last_updated
https://imagizer.imageshack.com/img922/6522/hoKvtN.png,Krelutarqua daMerivale,nostalgia,145,0,1663,12,1346,1210,8021,1210,1184,9410,All-Star,"8/6/2024, 1:03:04 AM"
https://imagizer.imageshack.com/img922/6522/hoKvtN.png,Krelutarqua daMerivale,zilaena,116,0,1044,208,529,43,4083,1028,1126,6917,All-Star,"8/6/2024, 1:03:22 AM"
https://imagizer.imageshack.com/img924/456/f7NYld.png,Haunted Darfennia Virtumyst,classicmess,148,0,1301,10,306,262,7468,1202,1176,6564,All-Star,"8/6/2024, 1:03:30 AM"
https://imagizer.imageshack.com/img924/8383/k73tN2.png,Lost Roorawkuudor Mountain,superkathiee,116,0,924,70,1367,375,6428,968,1188,6353,All-Star,"8/6/2024, 1:03:35 AM"
https://imagizer.imageshack.com/img924/456/f7NYld.png,Haunted Darfennia Virtumyst,ckgknyangel,67,0,562,10,700,490,6447,1210,1186,6138,All-Star,"8/6/2024, 1:03:42 AM"
https://imagizer.imageshack.com/img922/6522/hoKvtN.png,Krelutarqua daMerivale,orlytheowl,107,0,888,41,741,1,1275,1210,1182,5541,All-Star,"8/6/2024, 1:03:50 AM"
https://imagizer.imageshack.com/img924/8383/k73tN2.png,Lost Roorawkuudor Mountain,honorrolle,109,0,1111,49,937,355,6203,926,1186,5859,All-Star,"8/6/2024, 1:03:57 AM"
https://imagizer.imageshack.com/img924/8383/k73tN2.png,Lost Roorawkuudor Mountain,d_a_r_e,87,0,990,0,0,684,6187,968,1163,6174,All-Star,"8/6/2024, 1:04:06 AM"
https://imagizer.imageshack.com/img924/8383/k73tN2.png,Lost Roorawkuudor Mountain,lennekegirl123,5,0,39,35,722,355,6401,1243,1192,5214,All-Star,"8/6/2024, 1:04:13 AM"
https://imagizer.imageshack.com/img922/6522/hoKvtN.png,Krelutarqua daMerivale,aangchan,145,0,661,30,1095,475,7300,425,1183,5030,All-Star,"8/6/2024, 1:04:20 AM"
https://imagizer.imageshack.com/img922/6522/hoKvtN.png,Krelutarqua daMerivale,scizor07,62,0,437,10,416,0,0,1217,1185,4619,Level 19,"8/6/2024, 1:04:26 AM"
https://imagizer.imageshack.com/img924/456/f7NYld.png,Haunted Darfennia Virtumyst,justiquen,70,0,707,18,824,137,6695,1008,1189,4595,Level 19,"8/6/2024, 1:04:32 AM"
https://imagizer.imageshack.com/img922/6522/hoKvtN.png,Krelutarqua daMerivale,catchinglights,43,1,402,24,345,50,4073,1210,1180,4622,Level 19,"8/6/2024, 1:04:39 AM"
https://imagizer.imageshack.com/img922/6522/hoKvtN.png,Krelutarqua daMerivale,eleganza_lights,131,0,1220,1,324,1,4082,731,1187,4040,Level 17,"8/6/2024, 1:04:44 AM"
https://imagizer.imageshack.com/img922/6522/hoKvtN.png,Krelutarqua daMerivale,juliadoglover11405,3,1,16,1,31,81,4136,1210,140,3925,Level 16,"8/6/2024, 1:04:55 AM"
https://imagizer.imageshack.com/img924/8383/k73tN2.png,Lost Roorawkuudor Mountain,cyancias,65,0,540,75,1111,135,5695,485,1165,3520,Level 15,"8/6/2024, 1:05:01 AM"
https://imagizer.imageshack.com/img924/456/f7NYld.png,Haunted Darfennia Virtumyst,kio______lake,75,0,667,15,322,5,4591,450,1183,2565,Level 13,"8/6/2024, 1:05:08 AM"
https://imagizer.imageshack.com/img922/6522/hoKvtN.png,Krelutarqua daMerivale,nurnurnur199,0,0,0,0,0,0,0,856,1176,2568,Level 13,"8/6/2024, 1:05:39 AM"
https://imagizer.imageshack.com/img924/456/f7NYld.png,Haunted Darfennia Virtumyst,goosesticks,11,0,75,6,363,93,5153,508,1163,2017,Level 11,"8/6/2024, 1:05:58 AM"
https://imagizer.imageshack.com/img924/456/f7NYld.png,Haunted Darfennia Virtumyst,beckyx191,72,0,563,20,1215,70,6035,175,1165,1943,Level 10,"8/6/2024, 1:06:04 AM"
https://imagizer.imageshack.com/img924/8383/k73tN2.png,Lost Roorawkuudor Mountain,mbug1991,42,0,203,10,660,100,5266,305,1173,1903,Level 10,"8/6/2024, 1:06:08 AM"
https://imagizer.imageshack.com/img924/456/f7NYld.png,Haunted Darfennia Virtumyst,polarnights,100,0,1086,0,0,52,5711,200,1178,2156,Level 11,"8/6/2024, 1:06:18 AM"
https://imagizer.imageshack.com/img924/8383/k73tN2.png,Lost Roorawkuudor Mountain,idlegoth,0,0,0,27,954,0,0,491,1162,1743,Level 10,"8/6/2024, 1:06:23 AM"
https://imagizer.imageshack.com/img924/456/f7NYld.png,Haunted Darfennia Virtumyst,angel709317,62,0,389,70,519,14,5107,18,1065,1664,Level 9,"8/6/2024, 1:06:27 AM"
https://imagizer.imageshack.com/img924/8383/k73tN2.png,Lost Roorawkuudor Mountain,midnightswish,54,1,298,33,685,31,5173,135,1173,1584,Level 9,"8/6/2024, 1:06:32 AM"
https://imagizer.imageshack.com/img924/456/f7NYld.png,Haunted Darfennia Virtumyst,tinyroses18,32,0,248,0,0,30,3602,370,140,1648,Level 9,"8/6/2024, 1:06:40 AM"
https://imagizer.imageshack.com/img924/456/f7NYld.png,Haunted Darfennia Virtumyst,nella_fantasia,50,0,335,50,741,50,4925,50,1131,1500,Level 9,"8/6/2024, 1:07:25 AM"
https://imagizer.imageshack.com/img924/8383/k73tN2.png,Lost Roorawkuudor Mountain,hilary_duff_fan_16,29,0,176,0,0,25,2994,301,105,1384,Level 8,"8/6/2024, 1:07:28 AM"
https://imagizer.imageshack.com/img924/8383/k73tN2.png,Lost Roorawkuudor Mountain,atritas,4,0,18,60,742,100,5616,2,743,962,Level 6,"8/6/2024, 1:07:34 AM"
https://imagizer.imageshack.com/img924/8383/k73tN2.png,Lost Roorawkuudor Mountain,elhiwe,69,0,559,0,0,37,7551,0,0,1077,Level 7,"8/6/2024, 1:07:40 AM"
https://imagizer.imageshack.com/img922/6522/hoKvtN.png,Krelutarqua daMerivale,sosunub,0,0,0,16,856,100,6439,123,1206,829,Level 5,"8/6/2024, 1:07:43 AM"
https://imagizer.imageshack.com/img922/6522/hoKvtN.png,Krelutarqua daMerivale,ris1994,16,0,109,3,488,28,4896,122,1120,704,Level 5,"8/6/2024, 1:07:46 AM"
https://imagizer.imageshack.com/img922/6522/hoKvtN.png,Krelutarqua daMerivale,_new_cassalla_,12,0,47,0,0,28,5424,72,1157,468,Level 3,"8/6/2024, 1:07:51 AM"
https://imagizer.imageshack.com/img922/6522/hoKvtN.png,Krelutarqua daMerivale,gamemaster32792,30,2,144,1,684,3,3900,1,688,442,Level 3,"8/6/2024, 1:07:56 AM"
https://imagizer.imageshack.com/img924/8383/k73tN2.png,Lost Roorawkuudor Mountain,claimedxscribblez,0,0,0,4,696,70,5367,44,1128,382,Level 2,"8/6/2024, 1:08:01 AM"
https://imagizer.imageshack.com/img924/8383/k73tN2.png,Lost Roorawkuudor Mountain,painted_neo_faerie,10,2,36,0,0,3,2378,46,1117,287,Level 2,"8/6/2024, 1:08:06 AM"
https://imagizer.imageshack.com/img924/456/f7NYld.png,Haunted Darfennia Virtumyst,howlsilver,21,0,130,2,584,19,4929,14,1041,413,Level 3,"8/6/2024, 1:08:10 AM"
https://imagizer.imageshack.com/img924/8383/k73tN2.png,Lost Roorawkuudor Mountain,callisto2002,0,0,0,11,589,1,525,40,853,233,Level 1,"8/6/2024, 1:08:17 AM"
https://imagizer.imageshack.com/img924/456/f7NYld.png,Haunted Darfennia Virtumyst,macosten,0,0,0,0,0,1,4432,41,1189,126,Level 1,"8/6/2024, 1:08:24 AM"
https://imagizer.imageshack.com/img924/8383/k73tN2.png,Lost Roorawkuudor Mountain,mizsango,0,0,0,0,0,0,0,0,0,0,Beginner,"8/6/2024, 1:08:30 AM"
https://imagizer.imageshack.com/img924/8383/k73tN2.png,Lost Roorawkuudor Mountain,puppylover9161,0,0,0,0,0,0,0,0,0,0,Beginner,"8/6/2024, 1:08:35 AM"
https://imagizer.imageshack.com/img922/6522/hoKvtN.png,Krelutarqua daMerivale,rhianafaeriedoll,0,0,0,0,0,0,0,0,0,0,Beginner,"8/6/2024, 1:08:44 AM"
https://imagizer.imageshack.com/img924/456/f7NYld.png,Haunted Darfennia Virtumyst,yerimiese,0,0,0,0,0,0,0,0,0,0,Beginner,"8/6/2024, 1:08:50 AM"
