potato_logo,username,starting_wins,starting_score,starting_stats_captured,current_wins,current_score,last_updated,total_wins,total_score,opted_in
potatoes/marathon.png,goosesticks,3871,502071,"8/7/2025, 7:32:34 PM",6726,6347341,"8/17/2025, 10:01:43 AM",2855,5845270,True
potatoes/marathon.png,hunni_bun_137,4129,551088,"8/7/2025, 7:32:49 PM",6566,2600375,"8/17/2025, 10:01:22 AM",2437,2049287,True
potatoes/marathon.png,ferulax,2471,249561,"8/7/2025, 7:33:08 PM",2824,327407,"8/17/2025, 9:59:52 AM",353,77846,True
potatoes/marathon.png,hilary_duff_fan_16,17595,2748783,"8/7/2025, 7:33:17 PM",19855,4354634,"8/17/2025, 10:01:15 AM",2260,1605851,True
potatoes/marathon.png,superkathiee,11375,3219307,"8/7/2025, 7:33:29 PM",15092,11640000,"8/17/2025, 10:01:53 AM",3717,8420693,True
potatoes/marathon.png,classicmess,15235,2231584,"8/7/2025, 7:33:47 PM",15235,2231584,"8/15/2025, 3:57:17 PM",0,0,False
potatoes/marathon.png,sosunub,4214,649890,"8/7/2025, 7:34:23 PM",4223,655532,"8/17/2025, 10:02:56 AM",9,5642,True
potatoes/marathon.png,kio______lake,7717,928810,"8/7/2025, 7:34:45 PM",7810,944775,"8/17/2025, 9:59:19 AM",93,15965,True
potatoes/marathon.png,orlytheowl,35356,17207670,"8/7/2025, 7:35:02 PM",35356,17207670,"8/15/2025, 3:55:52 PM",0,0,False
potatoes/marathon.png,doglover99_8,6948,810231,"8/7/2025, 7:35:44 PM",7018,819262,"8/17/2025, 9:58:56 AM",70,9031,True
potatoes/marathon.png,midnightswish,282,36936,"8/7/2025, 7:40:01 PM",1275,357311,"8/17/2025, 10:01:03 AM",993,320375,True
potatoes/marathon.png,honorrolle,22199,9567953,"8/7/2025, 7:42:13 PM",26493,19606593,"8/17/2025, 10:01:55 AM",4294,10038640,True
potatoes/marathon.png,summer_11_11,850,86823,"8/7/2025, 7:44:01 PM",850,86823,"8/15/2025, 3:59:29 PM",0,0,False
potatoes/marathon.png,reply,24317,3262436,"8/7/2025, 7:44:28 PM",24319,3262662,"8/15/2025, 3:56:35 PM",2,226,False
potatoes/marathon.png,xeyota__fh,13231,2266139,"8/7/2025, 7:44:41 PM",13269,2281820,"8/17/2025, 9:59:13 AM",38,15681,True
potatoes/marathon.png,apostrasia,1659,198331,"8/7/2025, 7:45:15 PM",1659,198331,"8/15/2025, 3:59:11 PM",0,0,False
potatoes/marathon.png,ayumijen,18364,3019522,"8/7/2025, 7:46:29 PM",18364,3019522,"8/15/2025, 3:56:54 PM",0,0,False
